"ip","finger","hash","name","race","background","date","class","justClass","subclass","level","feats","HP","AC","Str","Dex","Con","Int","Wis","Cha","alignment","skills","weapons","spells","castingStat","choices","country","countryCode","processedAlignment","good","lawful","processedRace","processedSpells","processedWeapons","levelGroup","alias"
"1487e41","3522859","21b577a2ec85b922241d5bfd3325022e","08fa78a","Hill Dwarf","Guild Artisan",2020-03-10 14:53:25,"Rogue 8","Rogue","Assassin",8,"Alert",51,17,13,16,11,10,13,14,NA,"Sleight of Hand|Stealth|Insight|Perception|Deception|Persuasion","Shortsword|Handaxe|Crossbow, hand|Dagger",NA,"Int","expertise/Stealth*Sleight of Hand*Persuasion*Deception","Canada","CA",NA,NA,NA,"Dwarf",NA,"Shortsword|Handaxe|Crossbow, hand|Dagger","8-11","competent_lumiere"
"9bb50d2",NA,"c630cc93e3aa2bf5f75d32b7dc1f509b","a48fede","Scourge Aasimar","Charlatan",2020-03-10 04:54:46,"Wizard 21|Rogue 20|Monk 20|Warlock 20|Sorcerer 20|Ranger 20|Artificer 20|Paladin 20|Barbarian 20|Bard 20|Cleric 20|Druid 20|Fighter 20","Wizard|Rogue|Monk|Warlock|Sorcerer|Ranger|Artificer|Paladin|Barbarian|Bard|Cleric|Druid|Fighter","War Magic|Assassin|Way of Shadow|The Celestial|Storm Sorcery|Gloom Stalker|Battle Smith|Oath of Devotion|Path of the Zealot|College of Lore|Life Domain|Circle of the Moon|Battle Master",261,"Lucky|War Caster|Spell Sniper|Resilient|Ritual Caster|Alert|Sharpshooter|Defensive Duelist|Dual Wielder|Dungeon Delver|Skulker|Tough|Aberrant Dragonmark|Athlete|Magic Initiate|Mage Slayer|Mobile|Observant|Martial Adept|Weapon Master|Tavern Brawler|Keen Mind|Moderately Armored|Great Weapon Master|Skilled|Grappler|Durable|Elemental Adept|Mounted Combatant|Inspiring Leader|Sentinel|Shield Master|Savage Attacker|Polearm Master|Medium Armor Master|Linguist|Healer|Lightly Armored|Heavily Armored|Heavy Armor Master|Crossbow Expert|Charger|Actor",6894,34,42,39,42,38,36,38,NA,"Athletics|Acrobatics|Sleight of Hand|Stealth|Arcana|Investigation|Nature|Religion|Animal Handling|Insight|Survival|Deception|Performance","Quarterstaff","Light*0|Sacred Flame*0|Disguise Self*1|Heroism*1|Shield*1|Protection from Evil and Good*1|Sanctuary*1|Bless*1|Cure Wounds*1|Rope Trick*2|Branding Smite*2|Warding Bond*2|Lesser Restoration*2|Zone of Truth*2|Lesser Restoration*2|Spiritual Weapon*2|Fear*3|Aura of Vitality*3|Conjure Barrage*3|Beacon of Hope*3|Dispel Magic*3|Beacon of Hope*3|Revivify*3|Greater Invisibility*4|Aura of Purity*4|Fire Shield*4|Freedom of Movement*4|Guardian of Faith*4|Death Ward*4|Guardian of Faith*4|Seeming*5|Banishing Smite*5|Mass Cure Wounds*5|Commune*5|Flame Strike*5|Mass Cure Wounds*5|Raise Dead*5","Int","fighting style/Two-Weapon Fighting*Protection*Archery|pact boon/Pact of the Blade|eldritch invocations/Devil's Sight*Trickster's Escape*Maddening Hex*Tomb of Levistus*Relentless Hex*Bewitching Whispers*Gift of the Depths*Master of Myriad Forms|metamagic/Subtle Spell*Distant Spell*Quickened Spell*Empowered Spell|expertise/Thieves' Tools*Stealth*Sleight of Hand*Deception*Investigation*Athletics*Performance*Acrobatics|combat superiority maneuvers/Parry*Disarming Attack*Riposte*Lunging Attack*Evasive Footwork*Trip Attack*Sweeping Attack*Rally*Precision Attack*Goading Attack*Feinting Attack","Canada","CA",NA,NA,NA,"Aasimar","Light*0|Sacred Flame*0|Disguise Self*1|Heroism*1|Shield*1|Protection from Evil and Good*1|Sanctuary*1|Bless*1|Cure Wounds*1|Rope Trick*2|Branding Smite*2|Warding Bond*2|Lesser Restoration*2|Zone of Truth*2|Lesser Restoration*2|Spiritual Weapon*2|Fear*3|Aura Of Vitality*3|Conjure Barrage*3|Beacon of Hope*3|Dispel Magic*3|Beacon of Hope*3|Revivify*3|Greater Invisibility*4|Aura of Purity*4|Fire Shield*4|Freedom of Movement*4|Guardian of Faith*4|Death Ward*4|Guardian of Faith*4|Seeming*5|Banishing Smite*5|Mass Cure Wounds*5|Commune*5|Flame Strike*5|Mass Cure Wounds*5|Raise Dead*5","Quarterstaff",NA,"hardcore_benz"
"5b96438","0466f23","67ae502f0564b1b93249e80e528be9c6","771c9ff","Mountain Dwarf","Criminal",2020-03-10 01:35:30,"Rogue 3","Rogue","Thief",3,NA,29,15,16,17,16,17,15,13,"Chaotic Neutral","Athletics|Acrobatics|Sleight of Hand|Stealth|Investigation|Deception","Shortsword|Dagger|Crossbow, light",NA,"Int","expertise/Thieves' Tools*Stealth","United States","US","CN",NA,NA,"Dwarf",NA,"Shortsword|Dagger|Crossbow, Light","1-3","modest_easley"
"3459b51","89d6399","8b6834566caad9b061ebd885573a6a21","deb405a","Fallen Aasimar","Folk Hero",2020-03-09 19:28:35,"Barbarian 4","Barbarian","Path of the Zealot",4,"Great Weapon Master",41,16,16,14,14,8,8,14,NA,"Athletics|Perception|Intimidation|Persuasion","Greatsword|Handaxe|Javelin",NA,"Int",NA,"Australia","AU",NA,NA,NA,"Aasimar",NA,"Greatsword|Handaxe|Javelin","4-7","inspiring_brahmagupta"
NA,"6c0741e","60f3f325ed6ce370b376615c7e12bf21","a329ea8","Human 1 inspo","Folk Hero",2020-03-09 18:30:40,"Paladin 8","Paladin","Oath of Conquest",8,"Polearm Master|Great Weapon Master|Sentinel",112,15,20,18,18,12,15,18,"Lawful Neutral","Athletics|Acrobatics|Animal Handling|Medicine|Survival|Intimidation","Whip|Halberd, reroll 1/2|Polearm Master|GWM, Sentinel|Bitchslap Gauntlet","Wrathful Smite*1|Command*1|Armor of Agathys*1|Shield Of Faith*1|Bless*1|Hold Person*2|Spiritual Weapon*2|Find Steed*2|Magic Weapon*2","Cha","fighting style/Great Weapon Fighting","Canada","CA","LN",NA,NA,"Human","Wrathful Smite*1|Command*1|Armor of Agathys*1|Shield of Faith*1|Bless*1|Hold Person*2|Spiritual Weapon*2|Find Steed*2|Magic Weapon*2","Whip|Halberd|||","8-11","gracious_kilby"
NA,"6c0741e","f1d71e97ddb68c8fa123d9f226632f07","150aaf0","Human","Folk Hero",2020-03-09 18:29:38,"Fighter 6|Wizard 1","Fighter|Wizard","Battle Master|",7,"Shield Master|Heavy Armor Master|Athlete",89,18,20,12,18,16,14,14,NA,"Athletics|History|Animal Handling|Insight|Survival","Longsword|Handaxe|Handaxe","Green Flame Blade*0|Mending*0|Prestidigitation*0","Int","combat superiority maneuvers/Riposte*Precision Attack*Parry|fighting style/Dueling","Canada","CA",NA,NA,NA,"Human","Green-Flame Blade*0|Mending*0|Prestidigitation*0","Longsword|Handaxe|Handaxe","4-7","sad_thompson"
"f4e4911","e4d0aea","faf5ca4b934bcd926e7c6624e9fdab7b","57a38bf","Half-Elf","Urchin",2020-03-09 14:20:02,"Warlock 5","Warlock","The Great Old One",5,"Actor",35,11,8,11,14,12,14,18,NA,"Sleight of Hand|Stealth|Arcana|Investigation|Deception|Persuasion","Crossbow, light|Dagger",NA,"Cha","pact boon/Pact of the Chain|eldritch invocations/Mask of Many Faces*Eyes of the Rune Keeper*One with Shadows","United States","US",NA,NA,NA,"Half-Elf",NA,"Crossbow, Light|Dagger","4-7","crazy_hodgkin"
NA,"77dd74e","3bc763469b1ae21842e6a94f84133133","f8aee6b","Rock Gnome","Sage",2020-03-09 14:15:59,"Wizard 20","Wizard","School of Illusion",20,"Tough|Mage Slayer|War Caster",182,12,8,14,18,24,11,17,NA,"Arcana|History|Investigation|Insight|Perception|Deception","Quarterstaff|Ray Of Frost","Presdidigitation*0|Mage Hand*0|Minor Illusion*0|Message*0|Ray Of Frost*0|Magic Missle*1|Shield*1|Sleep*1|Mage Armor*1|Illusory Script *1|Comprehend Languages *1|Identify *1|Detect Magic*1|Disguise Self*1|Expeditious Retreat *1|Feather Fall *1|Invisibility *2|Misty Step*2|Web*2|Spider Climb*2|Hold Person *2|Ray Of Enfeeblement*2|Fireball*3|Hypnotic Pattern*3|Major Image*3|Enemies Abound*3|Leomunds Tiny Hut*3|Counterspell*3|Lightning Bolt *3|Tongues *3|Sending *3|Outilukes Resilient Sphere*4|Polymorph*4|Dimension Door*4|Confusion*4|Phantasmal Killer*4|Animate Objects*5|Dominate Person*5|Legend Lore *5|Seeming *5|Modify Memory *5|Wall Of Force *5|Passwall*5|Hold Monster *5|Programmed Illusion *6|Mass Suggestion *6|Chain Lightning *6|Disintegrate *6|Plane Shift *7|Forcecage *7|Prismatic Spray*7|Dominate Monster *8|Antimagic Field *8|Feeblemind *8|Weird*9|Meteor Swarm *9","Int",NA,"Canada","CA",NA,NA,NA,"Gnome","Prestidigitation*0|Mage Hand*0|Minor Illusion*0|Message*0|Ray of Frost*0|Magic Missile*1|Shield*1|Sleep*1|Mage Armor*1|Illusory Script*1|Comprehend Languages*1|Identify*1|Detect Magic*1|Disguise Self*1|Expeditious Retreat*1|Feather Fall*1|Invisibility*2|Misty Step*2|Web*2|Spider Climb*2|Hold Person*2|Ray of Enfeeblement*2|Fireball*3|Hypnotic Pattern*3|Major Image*3|Enemies Abound*3|Leomund's Tiny Hut*3|Counterspell*3|Lightning Bolt*3|Tongues*3|Sending*3|Otiluke's Resilient Sphere*4|Polymorph*4|Dimension Door*4|Confusion*4|Phantasmal Killer*4|Animate Objects*5|Dominate Person*5|Legend Lore*5|Seeming*5|Modify Memory*5|Wall of Force*5|Passwall*5|Hold Monster*5|Programmed Illusion*6|Mass Suggestion*6|Chain Lightning*6|Disintegrate*6|Plane Shift*7|Forcecage*7|Prismatic Spray*7|Dominate Monster*8|Antimagic Field*8|Feeblemind*8|Weird*9|Meteor Swarm*9","Quarterstaff|","19-20","fervent_hodgkin"
"1a40865","3ecc541","0b2a3a4783d6feb612c9216aeba2078e","1278531","Protector Aasimar","Archaeologist",2020-03-09 13:45:25,"Warlock 4","Warlock","The Fiend",4,NA,31,12,8,13,14,12,11,19,"lawful good/evil","History|Investigation|Survival|Intimidation","Crossbow, light|Dagger",NA,"Cha","pact boon/Pact of the Tome|eldritch invocations/Agonizing Blast*Book of Ancient Secrets","Israel","IL",NA,NA,NA,"Aasimar",NA,"Crossbow, Light|Dagger","4-7","hardcore_hertz"
"1a40865","3ecc541","09474a9dc352b6a49631dcff88d437b7","1278531","Protector Aasimar","Archaeologist",2020-03-09 13:41:05,"Warlock 4","Warlock","The Fiend",4,NA,31,12,8,13,14,12,11,19,"lawful good/evil","History|Investigation|Survival|Intimidation","Crossbow, light|Dagger",NA,"Cha","pact boon/Pact of the Tome|eldritch invocations/Agonizing Blast*Book of Ancient Secrets","Israel","IL",NA,NA,NA,"Aasimar",NA,"Crossbow, Light|Dagger","4-7","hardcore_hertz"
"34c85c5","76e63a3","00ad25d959892d8833e66e8d422fd893","38b9613","Lightfoot Halfling","Soldier",2020-03-08 15:58:40,"Fighter 1|Bard 4","Fighter|Bard","|College of Lore",5,"Tavern Brawler",40,17,16,10,14,8,10,16,NA,"Athletics|Acrobatics|Insight|Perception|Survival|Intimidation|Performance|Persuasion","Battleaxe|Handaxe|Unarmed strike","Thunderwave*0|Vicious Mockery*0|Light*0|Bane <U+00A9>*1|Earth Tremor*1|Longstrider*1|Dissonant Whispers*1|Enhance Ability <U+00A9>*2|Silence <U+00A9>*2|Zone Of Truth*2","Cha","fighting style/Defense|expertise/Intimidation*Athletics","Canada","CA",NA,NA,NA,"Halfling","*|Vicious Mockery*0|Light*0|Bane*1|Earth Tremor*1|Longstrider*1|Dissonant Whispers*1|Enhance Ability*2|Silence*2|Zone of Truth*2","Battleaxe|Handaxe|Unarmed Strike","4-7","condescending_mendel"
"bf8feea","81e28a6","d6714cb679bfc9a6ce19642160fe3764","6658175","Half-Dark Elf","Baby",2020-03-08 11:30:57,"Sorcerer 2","Sorcerer","Wild Magic",2,NA,9,10,3,8,11,10,10,15,NA,"Insight|Deception|Intimidation|Persuasion","Unarmed Strike","Friends*0|Light*0|Minor Illusion*0|Prestidigitation*0|Dancing Lights*0|Shield*1|Sleep*1|Chaos Bolt*1","Cha",NA,"Canada","CA",NA,NA,NA,"Elf","Friends*0|Light*0|Minor Illusion*0|Prestidigitation*0|Dancing Lights*0|Shield*1|Sleep*1|Chaos Bolt*1","Unarmed Strike","1-3","naughty_morse"
"40a68fd","26e3054","0ab1d688ecfd7c12179a1c1ca740d4f2","cb9a3a9","Tabaxi","Urchin",2020-03-08 10:17:34,"Monk 2|Rogue 2","Monk|Rogue","|",4,NA,26,17,14,18,12,10,16,12,"Neutral Good","Athletics|Acrobatics|Sleight of Hand|Stealth|Perception|Survival|Deception","Shortsword|Dart|Unarmed strike|Unarmed Claw|Crossbow, light",NA,"Int","expertise/Thieves' Tools*Sleight of Hand","United States","US","NG",NA,NA,"Tabaxi",NA,"Shortsword|Dart|Unarmed Strike||Crossbow, Light","4-7","cool_archimedes"
NA,"ac1e19f","b717bc378a7deb95e59df05cf08c0d31","bcfd164","Dragonborn","Sage",2020-03-07 21:05:46,"Monk 1","Monk",NA,1,NA,10,15,13,16,14,11,15,14,NA,"Athletics|Acrobatics|Arcana|History","Quarterstaff|Dart|Unarmed Strike",NA,"Int",NA,"Canada","CA",NA,NA,NA,"Dragonborn",NA,"Quarterstaff|Dart|Unarmed Strike","1-3","silly_heisenberg"
NA,"2afb12e","f542a5075eca73e5bf310efc6bfa1952","4b6288b","Human","Folk Hero",2020-03-07 17:22:11,"Wizard 1","Wizard",NA,1,"Alert",7,12,8,14,12,16,13,12,NA,"Arcana|Animal Handling|Insight|Medicine|Survival","Quarterstaff",NA,"Int",NA,"Canada","CA",NA,NA,NA,"Human",NA,"Quarterstaff","1-3","vigilant_hertz"
"74b1839","f19d333","8f4553587ae11cb29289b6d4ba9d57b0","d9173b6","Minotaurus","Soldat",2020-03-07 05:32:53,"Fighter 9|Druid 1","Fighter|Druid","Battle Master|",10,NA,138,16,20,17,18,13,17,14,"CG","Athletics|Animal Handling|Perception|Intimidation","Greatsword|Net|Handaxe","Dornenpeitsche*0|Mit Tieren reden*1|Tierfreund*1","Int","fighting style/Great Weapon Fighting|combat superiority maneuvers/Precision Attack*Parry*Disarming Attack*Menacing Attack*Goading Attack","Germany","DE","CG",NA,NA,"Minotaur","*|*|*","Greatsword|Net|Handaxe","8-11","frosty_blackburn"
"ef8388f","fdaa87d","fefef498e8a1d636ac936573288c107c","3260c41","Forest Gnome","Outlander",2020-03-07 02:42:49,"Ranger 8","Ranger","Beast Master",8,NA,100,17,16,20,16,16,16,14,"NG","Athletics|Nature|Animal Handling|Perception|Survival","Shortsword|Longbow|Spear|Scimitar|Quarterstaff","Einfache Illusion*0|Dornenhagel*1|Wunden Heilen*1|Zeichen des Jaegers*1|Stille*2|Schwache Genesung*2","Wis","fighting style/Archery","Germany","DE","NG",NA,NA,"Gnome","Minor Illusion*0|*|*|*|*|*","Shortsword|Longbow|Spear|Scimitar|Quarterstaff","8-11","silly_ptolemy"
"e9b78fa","fdaa87d","768ba35c078df013d5c33816097ca304","9c9d9d0","Wood Elf","Folk Hero",2020-03-07 00:33:31,"Monk 8","Monk","Way of the Open Hand",8,"Resilient|Athlete",67,21,16,20,16,14,20,14,"RN","Acrobatics|Stealth|Animal Handling|Perception|Survival","Dart|Unarmed Strike|Longbow|Quarterstaff|Longsword",NA,"Int",NA,"Germany","DE",NA,NA,NA,"Elf",NA,"Dart|Unarmed Strike|Longbow|Quarterstaff|Longsword","8-11","romantic_cocks"
"e9b78fa","fdaa87d","696eaa86dd9bff28074025625019daf0","742d5d6","Half-Orc","Sailor",2020-03-07 00:23:24,"Fighter 8","Fighter","Eldritch Knight",8,"Tough",120,17,20,14,18,16,16,14,NA,"Athletics|Acrobatics|Insight|Perception|Intimidation","Hackebeile +3|Mag. Bratpfanne +5|Knueppel|Longsword|Crossbow, Heavy","Klingenbann*0|Zielsicherer Schlag*0|Alarm*1|Brennende Haende*1|Donnerwoge*1|Schild*1|Dunkelheit*2|Windstoss*2","Int","fighting style/Defense","Germany","DE",NA,NA,NA,"Half-Orc","*|Sacred Flame*0|Alarm*1|Burning Hands*1|Snare*1|Shield*1|*|*","|||Longsword|Crossbow, Heavy","8-11","trusting_bohr"
"e9b78fa","fdaa87d","5f4beea7cbf3341d144c8a440090b179","7652846","Stout Halfling","Folk Hero",2020-03-07 00:11:42,"Sorcerer 1|Barbarian 7","Sorcerer|Barbarian","Draconic Bloodline|Path of the Totem Warrior",8,"Tough",146,21,23,18,18,14,14,16,"CN","Acrobatics|Stealth|Animal Handling|Survival|Intimidation|Persuasion","Battleaxe In Rage|Feuerpfeil|Greataxe In Rage|Battleaxe|Greataxe|Javelin","Gift Verspr<fc>hen*0|Magierhand*0|Tanzende Lichter*0|Feuerpfeil*0|Federfall*1|Sprachen Verstehen*1","Cha",NA,"Germany","DE","CN",NA,NA,"Halfling","*|Mage Hand*0|Dancing Lights*0|*|Feather Fall*1|*","Battleaxe||Greataxe|Battleaxe|Greataxe|Javelin","8-11","nifty_brahmagupta"
"e9b78fa","fdaa87d","7075008487abd9a8d3d9b6c3812eddbf","cc44225","Human","Scharlatan",2020-03-07 00:04:51,"Rogue 8","Rogue","Arcane Trickster",8,"Defensive Duelist|Alert",67,17,15,20,16,16,16,18,"CG","Acrobatics|Sleight of Hand|Stealth|Perception|Deception|Performance","Rapierstock|Shortbow|Dagger|Shortsword","Magierhand*0|Licht*0|Feuerpfeil*0|Personen Bezaubern*1|Selbstverkleidung*1|Spr<fc>hende Farben*1|T. F<fc>rchterlicher Lachanfall*1|Personen Festhalten*2|Unsichtbarkeit*2","Int","expertise/Sleight of Hand*Deception*Thieves' Tools","Germany","DE","CG",NA,NA,"Human","Mage Hand*0|Light*0|*|*|*|*|*|*|*","Rapier|Shortbow|Dagger|Shortsword","8-11","stupefied_gates"
"e9b78fa","fdaa87d","bb6f466540381d2cd390562f8a2488d1","062ddcd","Mountain Dwarf","Far Traveler",2020-03-06 23:54:29,"Wizard 8","Wizard","School of Abjuration",8,"Observant|Medium Armor Master",58,19,16,16,16,20,16,16,"CG","Arcana|History|Insight|Perception","Battleaxe|Warhammer|Handaxe|Dart","Botschaft*0|Droehnende Klinge*0|Feuerpfeil*0|Taschenspielerei*0|Alarm*1|Chromatische Kugel*1|Identifizieren ( Ritual )*1|Lange Schritte*1|Magie Entdecken ( Ritual )*1|Schild*1|Unsichtbarer Diener ( Ritual )*1|Dunkelheit*2|Klopfen*2|Magische Waffe*2|Nebelschritt*2|Unsichtbares Sehen*2|Fliegen*3|Feuerball*3|Gegenzauber*3|Geisterross ( Ritual )*3|Lemunds Winzige Huette ( Ritual )*3|Magie Bannen*3|Wasser Atmen ( Ritual )*3|Dimensionstuer*4|Duerre*4|Maechtige Unsichtbarkeit*4|Todesschutz*4","Int",NA,"Germany","DE","CG",NA,NA,"Dwarf","*|*|*|*|Alarm*1|Chromatic Orb*1|*|*|*|Shield*1|*|*|*|*|*|*|*|Fireball*3|*|*|*|*|*|Dimension Door*4|*|*|*","Battleaxe|Warhammer|Handaxe|Dart","8-11","serene_moser"
"aa4e5e6","703add1","1ab94f44eacc20cdcdfff83bb66886a2","1519484","Tiefling","Outlander",2020-03-06 16:49:33,"Fighter 12","Fighter","Arcane Archer",12,"Sharpshooter",100,16,8,20,14,19,10,8,NA,"Athletics|Acrobatics|Arcana|Perception|Survival","Longbow|Crossbow, light",NA,"Int","arcane shot options/Piercing Arrow*Banishing Arrow*Bursting Arrow*Grasping Arrow|fighting style/Archery|tiefling variants menu/Winged","Netherlands","NL",NA,NA,NA,"Tiefling",NA,"Longbow|Crossbow, Light","12-15","priceless_borg"
"5b02e10","0998b0c","c1788d218460ab9faa983b8c6a91897d","b5b1aff","Half-Elf (Wood)","Sage",2020-03-06 15:03:03,"Fighter 3|Wizard 1","Fighter|Wizard","Eldritch Knight|",4,NA,38,18,8,17,16,18,10,13,NA,"Athletics|Arcana|History|Insight|Perception","Dagger|Whip|Absolution","Booming Blade (EK)*0|Firebolt (EK)*0|Frostbite (Wi)*0|Prestidigitation (Wi)*0|Mage Hand (Wi)*0|Magic Missile (EK)*1|Shield (EK)*1|Thunderwave (EK) *1|Featherfall (Wi)*1|Fog Cloud (Wi)*1|Longstrider (Wi)*1|Comp. Languages (Wi, R)*1|Detect Magic (Wi, R)*1|Find Familiar (Wi, R)*1","Int","fighting style/Defense","Germany","DE",NA,NA,NA,NA,"Booming Blade*0|Fire Bolt*0|Frostbite*0|Prestidigitation*0|Mage Hand*0|Magic Missile*1|Shield*1|Thunderwave*1|Feather Fall*1|Fog Cloud*1|Longstrider*1|Comprehend Languages*1|Detect Magic*1|Find Familiar*1","Dagger|Whip|","4-7","amazing_hamilton"
"5b02e10","0998b0c","6f5f01a41bc42e21087444c4a9aad5c0","a12a2f8","Half-Elf","Sailor",2020-03-06 15:00:42,"Bard 4","Bard","College of Swords",4,NA,33,14,6,18,10,10,12,18,NA,"Athletics|Acrobatics|Sleight of Hand|Arcana|Insight|Perception|Deception|Performance|Persuasion",NA,"Mending*0|Message*0|Vicious Mockery*0|Faerie Fire*1|Cure Wounds*1|Disonant Whispers*1|Heroism*1|Silence*2|Heat Metal*2","Cha","expertise/Deception*Acrobatics|fighting style/Dueling","Germany","DE",NA,NA,NA,"Half-Elf","Mending*0|Message*0|Vicious Mockery*0|Faerie Fire*1|Cure Wounds*1|Dissonant Whispers*1|Heroism*1|Silence*2|Heat Metal*2",NA,"4-7","quirky_hamilton"
"cd43b26","145c76c","479708d17f711b10013e66491fed67ad","ca9a61d","Turtle","Custom",2020-03-06 10:41:25,"Monk 1","Monk",NA,1,NA,10,20,16,10,14,8,16,10,NA,"Athletics|Acrobatics|Insight|Perception|Survival","Quarterstaff|Dart|Unarmed strike",NA,"Int",NA,"United States","US",NA,NA,NA,"Turtle",NA,"Quarterstaff|Dart|Unarmed Strike","1-3","eloquent_tu"
"cd43b26","145c76c","5526b70b6f05463fd7056daa1bb0415d","ca9a61d","Turtle","Custom",2020-03-06 10:33:25,"Monk 1","Monk",NA,1,NA,10,20,16,10,14,8,16,10,NA,"Athletics|Acrobatics|Insight|Perception|Survival","Quarterstaff|Dart|Unarmed strike",NA,"Int",NA,"United States","US",NA,NA,NA,"Turtle",NA,"Quarterstaff|Dart|Unarmed Strike","1-3","eloquent_tu"
NA,"8cd0b76","d82632f6f98c1a6e4a7d135eeb60a8f6","38e6c0c","Lightfoot Halfling","Charlatan",2020-03-06 08:48:46,"Rogue 20|Warlock 2","Rogue|Warlock","Assassin|The Fiend",22,"Alert|Skilled|Great Weapon Master",286,16,10,20,20,12,16,15,NA,"Athletics|Acrobatics|Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception|Persuasion","Rapier|Shortbow|Dagger",NA,"Int","eldritch invocations/Eldritch Sight*Devil's Sight|expertise/Stealth*Perception*Deception*Acrobatics","Canada","CA",NA,NA,NA,"Halfling",NA,"Rapier|Shortbow|Dagger",NA,"thirsty_noether"
"c5bb605","e938543","54373d7f5ba6c576a43c99355247216b","833a7b2","Human","Acolyte",2020-03-05 15:11:43,"Cleric 1","Cleric","Life Domain",1,"Healer",11,18,15,8,16,8,16,8,NA,"History|Religion|Insight|Medicine|Persuasion","Mace","Light*0|Sacred Flame*0|Thaumaturgy*0|Bless*1|Cure Wounds*1|Bane*1|Command*1|Create or Destroy Water*1|Cure Wounds*1|Detect Evil and Good*1|Detect Magic*1|Detect Poison and Disease*1|Guiding Bolt*1|Healing Word*1|Inflict Wounds*1|Protection From Evil And Good*1|Purify Food and Drink*1|Sanctuary*1|Shield Of Faith*1","Wis",NA,"United States","US",NA,NA,NA,"Human","Light*0|Sacred Flame*0|Thaumaturgy*0|Bless*1|Cure Wounds*1|Bane*1|Command*1|Create or Destroy Water*1|Cure Wounds*1|Detect Evil and Good*1|Detect Magic*1|Detect Poison and Disease*1|Guiding Bolt*1|Healing Word*1|Inflict Wounds*1|Protection from Evil and Good*1|Purify Food and Drink*1|Sanctuary*1|Shield of Faith*1","Mace","1-3","zen_beaver"
"fd9a56d","145c76c","0f69ea4e0437182832d79d6ad2c677de","ca9a61d","Turtle","Custom",2020-03-05 13:47:31,"Monk 1","Monk",NA,1,NA,10,20,16,10,14,8,16,10,NA,"Athletics|Acrobatics|Insight|Perception|Survival","Quarterstaff|Dart|Unarmed strike",NA,"Int",NA,"United States","US",NA,NA,NA,"Turtle",NA,"Quarterstaff|Dart|Unarmed Strike","1-3","eloquent_tu"
"2f7e637","8ffe0c9","c7a6506cc59a182d671e20f5871b41e9","3324cb6","Forest Gnome","Smuggler",2020-03-05 12:20:42,"Rogue 8","Rogue","Inquisitive",8,NA,59,16,8,20,14,10,12,14,NA,"Athletics|Stealth|Insight|Perception|Deception|Persuasion","Shortbow|Dagger|Shortsword|Crossbow, light",NA,"Int","expertise/Persuasion*Insight*Stealth*Perception","United States","US",NA,NA,NA,"Gnome",NA,"Shortbow|Dagger|Shortsword|Crossbow, Light","8-11","sad_kare"
"249e457","5160058","94f64b473e4fdb58bbc65f7f86e65c80","f0e524d","Tabaxi","Custom",2020-03-05 06:47:09,"Monk 5","Monk","Way of the Open Hand",5,"Observant",40,18,13,19,14,11,18,10,"Neutral Good","Acrobatics|Stealth|Animal Handling|Insight|Perception|Survival","Dagger|Dart|Unarmed strike|Whip|Adamantine Dagger",NA,"Wis",NA,"Philippines","PH","NG",NA,NA,"Tabaxi",NA,"Dagger|Dart|Unarmed Strike|Whip|Dagger","4-7","sweet_brown"
