Class_ID,Class_Name,Ability,HP,Training,subclass,Proficiency
,Sorcerer,Bluff,16,Crime,Storm Sorcery,Tough
,Rogue|Paladin,Religion,62,Stronghold,Assassin|Oath of Vengeance,Sharpshooter
,Ranger,Intimidate,11,Stronghold,,War Caster
,Cleric,Arcana,5,Work,Tempest Domain,Defensive Duelist
,Artificer,Endurance,38,Crime,Artillerist,Great Weapon Master
,Rogue,Streetwise,8,Crafting an Item,,Alert
,Paladin,Athletics,32,Buying a Magic Item,Oath of Devotion,Shield Master
,Paladin,Heal,20,Buying a Magic Item,,Great Weapon Master
,Druid,Endurance,17,Crime,Circle of the Shepherd,Defensive Duelist
,Warlock,Streetwise,6,Buying a Magic Item,The Great Old One,Observent
,Wizard,Athletics,7,Carousing,,Resilient
,Sorcerer|Cleric,Stealth,37,Religious Service,Divine Soul|Death Domain,Alert
,Rogue|Fighter,Insight,52,Sowing Rumors,Assassin|Battle Master,Great Weapon Master
,Rogue|Barbarian,Athletics,89,Carousing,Assassin|Path of the Berserker,Defensive Duelist
,Revised Ranger,Endurance,60,Selling a Magic Item,Hunter Conclave,Lucky
,Revised Ranger,Diplomacy,60,Tool,Hunter Conclave,War Caster
,Cleric,Arcana,83,Sacred Rites,Grave Domain,Spell Sniper
,Fighter,Intimidate,29,Crafting an Item,Cavalier,Sharpshooter
,Paladin,Insight,47,Sowing Rumors,Oath of Vengeance,Sentinel
,Cleric,Stealth,10,Language,Forge Domain,Sentinel
,Cleric,Dungeoneering,48,Relaxation,Arcana Domain,Spell Sniper
,Cleric,Thievery,31,Crime,Arcana Domain,Dual Wielder
,Paladin,Nature,140,Carousing,Oath of Ancients,Polearm Master
,Paladin,Stealth,130,Gambling,Oath of Redemption,Spell Sniper
,Cleric,Religion,35,Language,Light Domain,Resilient
,Druid,Intimidate,36,Gambling,Circle of the Moon,Lucky
,Fighter|Druid,Intimidate,128,Work,Battle Master|,Polearm Master
,Rogue|Warlock,Arcana,153,Research,Mastermind|The Fiend,Polearm Master
,Cleric,Religion,46,Work,Life Domain,Great Weapon Master
,Cleric,Bluff,46,Sowing Rumors,Life Domain,Dual Wielder
,Cleric,Stealth,46,Pit Fighting,Life Domain,Sentinel
,Barbarian,Diplomacy,75,Buying a Magic Item,Path of the Totem Warrior,Elven Accuracy
,Rogue,Endurance,59,Tool,Swashbuckler,Spell Sniper
,Paladin|Bard,Arcana,55,Buying a Magic Item,|College of Swords,Sentinel
,Paladin|Bard,Nature,55,Sowing Rumors,|College of Swords,Sentinel
,Sorcerer,Bluff,37,Sacred Rites,Storm Sorcery,Medium Armor
,Paladin|Bard,Insight,55,Language,|College of Swords,Dual Wielder
,Fighter,Dungeoneering,20,Sacred Rites,,Medium Armor
,Paladin|Bard,Insight,62,Religious Service,|College of Swords,Defensive Duelist
,Barbarian,Diplomacy,41,Sowing Rumors,Path of the Berserker,Dual Wielder
,Rogue,Diplomacy,60,Crime,Assassin,Resilient
,Artificer,Intimidate,31,Pit Fighting,Alchemist,Observent
,Warlock,Bluff,84,Pit Fighting,The Hexblade,Shield Master
,Rogue,Heal,7,Carousing,,Spell Sniper
,Fighter,Heal,104,Gambling,Champion,Sharpshooter
,Ranger,Insight,12,Religious Service,,Polearm Master
,Druid,Heal,12,Research,Circle of Dreams,Observent
,Wizard,Streetwise,26,Carousing,School of Divination,War Caster
,Wizard,Nature,14,Religious Service,School of Transmutation,Medium Armor
,Bard,Arcana,59,Sowing Rumors,College of Lore,War Caster
,Fighter,Stealth,13,Tool,,Prodigy
,Paladin,Streetwise,110,Work,Oath of Ancients,Medium Armor
,Warlock,Heal,75,Research,The Fiend,Crossbow Expert
,Wizard,Stealth,38,Selling a Magic Item,School of Divination,Crossbow Expert
,Barbarian|Sorcerer,Bluff,127,Religious Service,Path of the Totem Warrior|Draconic Bloodline,Tough
,Wizard,Heal,38,Research,School of Divination,Observent
,Wizard,Athletics,44,Pit Fighting,School of Transmutation,Mobile
,Monk,Thievery,83,Work,Way of the Drunken Master,Crossbow Expert
,Warlock,Insight,73,Carousing,The Archfey,Spell Sniper
,Rogue,Streetwise,31,Language,Arcane Trickster,Mobile
,Fighter,Thievery,20,Buying a Magic Item,,Great Weapon Master
,Sorcerer|Warlock,Arcana,25,Scribing a Spell Scroll,Shadow Magic|Raven Queen,Actor
,Monk,Arcana,66,Religious Service,Way of the Drunken Master,Actor
,Blood Hunter,Stealth,36,Scribing a Spell Scroll,Order of the Ghostslayer,Actor
,Revised Ranger,Arcana,32,Sowing Rumors,Beast Conclave,Defensive Duelist
,Barbarian|Fighter,Bluff,32,Relaxation,Path of the Totem Warrior|,Medium Armor
,Wizard,Nature,27,Sacred Rites,School of Conjuration,Elven Accuracy
,Rogue,Heal,26,Language,Arcane Trickster,Prodigy
,Barbarian,Nature,67,Gambling,Path of the Totem Warrior,Tough
,Fighter,Heal,59,Buying a Magic Item,Champion,Crossbow Expert
,Fighter,Streetwise,13,Language,,Prodigy
,Sorcerer,Religion,43,Research,Storm Sorcery,Sharpshooter
,Barbarian,Insight,14,Sowing Rumors,,Resilient
,Monk,Diplomacy,14,Pit Fighting,,Tough
,Monk,Heal,14,Tool,,Great Weapon Master
,Monk,Heal,14,Buying a Magic Item,,Alert
,Barbarian,Endurance,16,Tool,,Observent
,Monk,Arcana,7,Carousing,,Lucky
,Cleric,Athletics,9,Carousing,Forge Domain,Polearm Master
,Rogue,Insight,11,Crafting an Item,,Observent
,Monk,Insight,10,Sowing Rumors,,Lucky
,Monk,Heal,14,Buying a Magic Item,,Spell Sniper
,Monk,Streetwise,9,Crime,,Defensive Duelist
,Paladin,Diplomacy,12,Selling a Magic Item,,Actor
,Rogue,Endurance,-6,Crafting an Item,Assassin,Elven Accuracy
,Bard,Dungeoneering,10,Research,,Spell Sniper
,Monk,Intimidate,22,Religious Service,Way of the Sun Soul,Medium Armor
,Rogue,Endurance,8,Religious Service,,Spell Sniper
,Warlock,Endurance,9,Religious Service,The Hexblade,Medium Armor
,Fighter,Arcana,12,Sacred Rites,,Sentinel
,Bard,Intimidate,9,Selling a Magic Item,,Spell Sniper
,Artificer,Dungeoneering,10,Pit Fighting,,Sentinel
,Wizard|Monk,Insight,34,Crime,Bladesinging|,Tough
,Monk,Heal,107,Gambling,Way of Shadow,Alert
,Monk,Stealth,107,Carousing,Way of the Open Hand,Alert
,Druid,Nature,146,Carousing,Circle of the Moon,Tough
,Fighter,Athletics,12,Selling a Magic Item,,Great Weapon Master
,Sorcerer|Warlock,Intimidate,25,Carousing,Shadow Magic|Raven Queen,Spell Sniper
,Sorcerer|Warlock,Thievery,25,Gambling,Shadow Magic|Raven Queen,Sentinel
,Fighter,Stealth,34,Religious Service,Eldritch Knight,Observent
,Sorcerer,Athletics,38,Gambling,Storm Sorcery,War Caster
,Rogue,Diplomacy,9,Work,,Actor
,Sorcerer|Warlock,Arcana,25,Crime,Shadow Magic|The Hexblade,Spell Sniper
,Druid,Heal,33,Research,Circle of the Moon,Defensive Duelist
,Rogue,Streetwise,42,Stronghold,Assassin,Dual Wielder
,Wizard,Endurance,24,Crafting an Item,School of Necromancy,Actor
,Druid,Intimidate,30,Relaxation,Circle of the Moon,Prodigy
,Rogue,Insight,42,Pit Fighting,Mastermind,Dual Wielder
,Wizard,Intimidate,30,Selling a Magic Item,School of Transmutation,Lucky
,Barbarian,Endurance,54,Crime,Path of the Berserker,Sharpshooter
,Paladin,Streetwise,12,Relaxation,,Elven Accuracy
,Paladin,Diplomacy,12,Tool,,Defensive Duelist
,Warlock,Intimidate,10,Relaxation,The Fiend,Defensive Duelist
,Bard,Heal,23,Sacred Rites,College of Glamour,Observent
,Warlock,Insight,23,Language,The Hexblade,Shield Master
,Warlock,Stealth,10,Pit Fighting,The Fiend,Actor
,Rogue|Fighter,Heal,36,Selling a Magic Item,Scout|,Crossbow Expert
,Rogue|Fighter,Endurance,36,Tool,Scout|,Spell Sniper
,Artificer,Arcana,10,Crafting an Item,,Sentinel
,Rogue,Thievery,50,Relaxation,Thief,Alert
,Warlock,Intimidate,24,Carousing,The Celestial,Sharpshooter
,Sorcerer|Warlock,Bluff,29,Stronghold,Shadow Magic|The Hexblade,Defensive Duelist
,Sorcerer|Warlock,Dungeoneering,29,Work,Shadow Magic|The Hexblade,Dual Wielder
,Revised Ranger,Insight,32,Crafting an Item,,Medium Armor
,Druid,Religion,7,Gambling,,Lucky
,Fighter,Dungeoneering,22,Sacred Rites,,Defensive Duelist
,Revised Ranger,Intimidate,9,Selling a Magic Item,,Spell Sniper
,Wizard,Intimidate,146,Work,School of Necromancy,Prodigy
,Bard,Intimidate,60,Crafting an Item,College of Lore,Crossbow Expert
,Paladin|Bard,Streetwise,55,Carousing,|College of Swords,Actor
,Rogue|Sorcerer,Thievery,22,Work,Inquisitive|Wild Magic,Resilient
,Rogue,Diplomacy,28,Gambling,Arcane Trickster,War Caster
,Artificer,Heal,10,Work,,Resilient
,Paladin,Endurance,36,Scribing a Spell Scroll,Oath of Conquest,Sharpshooter
,Cleric,Nature,27,Gambling,Trickery Domain,War Caster
,Ranger,Arcana,52,Selling a Magic Item,Hunter,Mobile
,Cleric|Barbarian,Endurance,54,Language,Nature Domain|,Sharpshooter
,Ranger,Stealth,40,Crime,Beast Master,Dual Wielder
,Ranger|Rogue,Stealth,55,Tool,Hunter|,Elven Accuracy
,Monk,Dungeoneering,9,Buying a Magic Item,,Sharpshooter
,Bard,Intimidate,39,Scribing a Spell Scroll,College of Lore,Lucky
,Warlock,Nature,10,Work,The Archfey,Medium Armor
,Rogue,Thievery,11,Stronghold,,War Caster
,Cleric,Stealth,10,Carousing,Life Domain,Shield Master
,Druid,Religion,9,Gambling,,Mobile
,Cleric,Insight,10,Selling a Magic Item,War Domain,Sharpshooter
,Cleric,Intimidate,10,Pit Fighting,War Domain,Spell Sniper
,Rogue|Fighter,Streetwise,80,Work,Swashbuckler|,War Caster
,Monk,Insight,38,Selling a Magic Item,Way of the Sun Soul,Tough
,Artificer,Bluff,65,Research,Artillerist,Alert
,Cleric,Nature,54,Carousing,Life Domain,Actor
,Monk,Religion,45,Pit Fighting,Way of the Four Elements,Shield Master
,Fighter,Diplomacy,40,Relaxation,Champion,Medium Armor
,Sorcerer,Arcana,37,Carousing,Storm Sorcery,Sentinel
,Barbarian,Insight,71,Research,Path of the Ancestral Guardian,War Caster
,Rogue,Athletics,48,Work,Arcane Trickster,Resilient
,Monk,Nature,9,Gambling,,Sharpshooter
,Cleric,Thievery,10,Stronghold,Life Domain,Dual Wielder
,Paladin,Arcana,12,Relaxation,,Dual Wielder
,Monk,Arcana,63,Work,Way of the Open Hand,Actor
,Monk,Endurance,9,Tool,,Shield Master
,Artificer,Streetwise,73,Selling a Magic Item,Artillerist,Mobile
,Paladin,Endurance,39,Selling a Magic Item,Oath of Conquest,Resilient
,Sorcerer,Religion,22,Buying a Magic Item,Storm Sorcery,Defensive Duelist
,Druid,Nature,56,Gambling,Circle of Spores,Medium Armor
,Cleric|Monk,Dungeoneering,59,Selling a Magic Item,Grave Domain|,Resilient
,Fighter,Arcana,59,Crime,Samurai,Prodigy
,Rogue,Streetwise,31,Relaxation,Arcane Trickster,Mobile
,Bard,Heal,45,Language,College of Lore,Observent
,Bard,Dungeoneering,45,Crafting an Item,College of Lore,Sentinel
,Sorcerer,Dungeoneering,6,Research,Storm Sorcery,Tough
,Fighter|Paladin,Arcana,49,Tool,Eldritch Knight|,Crossbow Expert
,Wizard|Rogue,Dungeoneering,23,Crime,School of Evocation|,Sharpshooter
,Rogue,Insight,35,Sacred Rites,Thief,Tough
,Rogue,Dungeoneering,15,Religious Service,Arcane Trickster,Observent
,Rogue,Athletics,39,Carousing,Assassin,Sharpshooter
,Paladin,Intimidate,46,Scribing a Spell Scroll,Oath of Ancients,Lucky
,Sorcerer,Bluff,36,Selling a Magic Item,Storm Sorcery,Medium Armor
,Cleric,Nature,31,Stronghold,Knowledge Domain,Elven Accuracy
,Bard|Monk,Athletics,50,Buying a Magic Item,College of Lore|,Medium Armor
,Druid,Arcana,203,Selling a Magic Item,Circle of the Moon,Resilient
,Barbarian|Rogue,Stealth,216,Crime,Path of the Storm Herald|Thief,Sentinel
,Cleric,Heal,180,Research,Life Domain,Defensive Duelist
,Paladin,Bluff,48,Religious Service,Oath of Vengeance,Great Weapon Master
,Rogue,Streetwise,9,Pit Fighting,,Resilient
,Wizard,Stealth,74,Stronghold,School of Evocation,Shield Master
,Barbarian,Streetwise,14,Crime,,Great Weapon Master
,Cleric,Diplomacy,11,Religious Service,Life Domain,Actor
,Paladin,Heal,32,Tool,Oath of Conquest,Sentinel
,Monk,Bluff,11,Research,,Lucky
,Fighter,Bluff,44,Religious Service,Battle Master,Mobile
,Paladin,Arcana,32,Religious Service,Oath of Devotion,Great Weapon Master
,Barbarian,Streetwise,45,Stronghold,Path of the Zealot,Polearm Master
,Fighter,Nature,37,Research,Battle Master,Lucky
,Rogue,Streetwise,47,Tool,Arcane Trickster,Polearm Master
,Fighter,Insight,56,Tool,Champion,Crossbow Expert
,Paladin,Endurance,28,Carousing,Oath of the Crown,Elven Accuracy
,Druid,Stealth,45,Gambling,Circle of the Moon,Defensive Duelist
,Barbarian,Heal,55,Pit Fighting,Path of the Ancestral Guardian,Alert
,Barbarian,Arcana,15,Gambling,,Sentinel
,Barbarian,Stealth,15,Pit Fighting,,Polearm Master
,Barbarian,Endurance,85,Carousing,Path of the Totem Warrior,Polearm Master
,Warlock,Intimidate,54,Sacred Rites,The Great Old One,Alert
,Bard,Religion,60,Crime,College of Valor,Medium Armor
,Monk,Nature,9,Pit Fighting,,Crossbow Expert
,Bard,Heal,45,Carousing,College of Glamour,Alert
,Ranger,Dungeoneering,37,Work,Beast Master,Sharpshooter
,Fighter|Druid,Bluff,59,Relaxation,|Circle of the Moon,Shield Master
,Wizard,Diplomacy,30,Crime,School of Enchantment,Mobile
,Rogue,Heal,23,Buying a Magic Item,Assassin,Observent
,Druid|Cleric,Athletics,59,Gambling,Circle of the Land|Tempest Domain,Mobile
,Druid,Endurance,31,Sowing Rumors,Circle of the Shepherd,Crossbow Expert
,Fighter|Cleric,Athletics,58,Tool,|Life Domain,Dual Wielder
,Fighter,Endurance,36,Relaxation,Arcane Archer,Spell Sniper
,Cleric,Nature,33,Buying a Magic Item,War Domain,Sentinel
,Barbarian,Thievery,45,Crafting an Item,Path of the Totem Warrior,Observent
,Fighter,Streetwise,28,Work,Champion,Sentinel
,Paladin,Streetwise,11,Religious Service,,Shield Master
,Sorcerer,Bluff,35,Sowing Rumors,Wild Magic,Tough
,Monk,Religion,47,Sowing Rumors,Way of the Long Death,War Caster
,Paladin,Insight,60,Work,Oath of Conquest,Sentinel
,Cleric,Heal,55,Research,Tempest Domain,Spell Sniper
,Cleric,Dungeoneering,75,Selling a Magic Item,Life Domain,Sentinel
,Fighter,Heal,68,Work,Battle Master,Spell Sniper
,Barbarian,Streetwise,95,Work,Path of the Berserker,Spell Sniper
,Barbarian,Religion,85,Work,Revised Ancestral Guardian,Sentinel
,Wizard,Intimidate,27,Crime,School of Divination,Resilient
,Wizard,Heal,27,Sacred Rites,School of Divination,Great Weapon Master
,Bard,Insight,30,Language,College of Swords,Crossbow Expert
,Fighter,Athletics,24,Sacred Rites,,War Caster
,Fighter,Diplomacy,140,Work,Champion,Spell Sniper
,Monk,Nature,9,Stronghold,,Shield Master
,Rogue|Sorcerer,Thievery,47,Stronghold,Arcane Trickster|Draconic Bloodline,Alert
,Sorcerer,Insight,29,Crafting an Item,Storm Sorcery,Mobile
,Paladin,Heal,38,Crafting an Item,Oath of Ancients,Lucky
,Sorcerer,Bluff,30,Selling a Magic Item,Divine Soul,Crossbow Expert
,Ranger,Thievery,58,Scribing a Spell Scroll,Hunter,Prodigy
,Druid|Warlock,Religion,27,Relaxation,Circle of Dreams|The Great Old One,Great Weapon Master
,Ranger,Arcana,56,Language,Hunter,Mobile
,Barbarian,Bluff,51,Selling a Magic Item,Path of the Storm Herald,Observent
,Ranger,Diplomacy,18,Crime,,Elven Accuracy
,Fighter,Thievery,140,Crime,Champion,Resilient
,Fighter,Streetwise,12,Pit Fighting,,Polearm Master
,Barbarian,Religion,55,Relaxation,Path of the Berserker,Actor
,Monk,Diplomacy,42,Language,Way of the Open Hand,War Caster
,Bard,Arcana,30,Carousing,College of Glamour,War Caster
,Bard,Diplomacy,23,Sowing Rumors,College of Glamour,Medium Armor
,Druid,Endurance,45,Sowing Rumors,Circle of Dreams,Sharpshooter
,Paladin,Thievery,62,Religious Service,Oath of Devotion,Crossbow Expert
,Bard,Arcana,28,Tool,College of Valor,Prodigy
,Wizard,Arcana,43,Sacred Rites,School of Conjuration,Observent
,Artificer,Religion,59,Crafting an Item,Artillerist,Defensive Duelist
,Rogue,Insight,48,Selling a Magic Item,Assassin,Dual Wielder
,Rogue,Heal,51,Tool,Arcane Trickster,Sentinel
,Ranger,Heal,99,Stronghold,Hunter,Sharpshooter
,Rogue,Bluff,67,Relaxation,Arcane Trickster,Defensive Duelist
,Cleric,Insight,39,Tool,Grave Domain,War Caster
,Barbarian,Streetwise,27,Stronghold,Path of the Ancestral Guardian,Dual Wielder
,Barbarian|Cleric,Dungeoneering,65,Crime,Path of the Berserker|Forge Domain,Medium Armor
,Barbarian|Fighter,Religion,68,Gambling,Path of the Berserker|Samurai,Prodigy
,Sorcerer,Athletics,36,Selling a Magic Item,Divine Soul,Lucky
,Cleric,Arcana,27,Gambling,Life Domain,Shield Master
,Cleric,Bluff,34,Religious Service,Life Domain,Dual Wielder
,Rogue|Bard,Diplomacy,19,Buying a Magic Item,|,Mobile
,Rogue,Intimidate,27,Religious Service,Scout,Crossbow Expert
,Ranger,Diplomacy,26,Crafting an Item,Hunter,Resilient
,Paladin,Religion,42,Work,Oath of Conquest,Tough
,Monk,Diplomacy,35,Selling a Magic Item,Way of the Open Hand,Crossbow Expert
,Fighter,Arcana,52,Sacred Rites,Champion,Actor
,Cleric,Arcana,24,Pit Fighting,Life Domain,Observent
,Bard,Nature,24,Crafting an Item,College of Glamour,Great Weapon Master
,Barbarian,Insight,50,Crafting an Item,Path of the Berserker,Tough
,Rogue,Intimidate,45,Work,Assassin,Sharpshooter
,Barbarian,Bluff,51,Language,Path of the Totem Warrior,Observent
,Sorcerer,Religion,30,Pit Fighting,Wild Magic,Mobile
,Sorcerer,Intimidate,26,Work,Shadow Magic,Tough
,Barbarian,Arcana,41,Sacred Rites,Path of the Berserker,War Caster
,Sorcerer,Religion,26,Scribing a Spell Scroll,Shadow Magic,Sentinel
,Paladin,Arcana,33,Scribing a Spell Scroll,OathBreaker,Medium Armor
,Rogue|Ranger,Dungeoneering,119,Crime,|Horizon Walker,Resilient
,Sorcerer,Bluff,108,Selling a Magic Item,Storm Sorcery,Tough
,Cleric,Thievery,119,Tool,Tempest Domain,Actor
,Fighter,Stealth,182,Crime,Samurai,Great Weapon Master
,Warlock,Athletics,206,Language,The Great Old One,Polearm Master
,Rogue,Athletics,31,Work,Swashbuckler,Tough
,Fighter,Insight,137,Sacred Rites,Eldritch Knight,Polearm Master
,Barbarian,Bluff,32,Stronghold,Path of the Berserker,Lucky
,Cleric,Dungeoneering,20,Language,Life Domain,Actor
,Monk,Heal,103,Crime,Way of the Kensei,Prodigy
,Rogue,Intimidate,47,Work,Assassin,Crossbow Expert
,Sorcerer,Nature,43,Buying a Magic Item,Storm Sorcery,Polearm Master
,Rogue|Cleric,Diplomacy,28,Stronghold,Mastermind|Trickery Domain,Great Weapon Master
,Rogue,Streetwise,45,Sacred Rites,Assassin,Elven Accuracy
,Barbarian,Nature,51,Tool,Path of the Totem Warrior,Polearm Master
,Ranger,Endurance,29,Research,Hunter,Defensive Duelist
,Fighter,Religion,43,Tool,Samurai,Sharpshooter
,Druid,Intimidate,31,Sacred Rites,Circle of the Moon,Tough
,Sorcerer,Thievery,20,Relaxation,Shadow Magic,Lucky
,Cleric,Intimidate,27,Sowing Rumors,Tempest Domain,Elven Accuracy
,Monk,Diplomacy,103,Scribing a Spell Scroll,Way of the Kensei,Medium Armor
,Fighter,Dungeoneering,12,Pit Fighting,,Observent
,Paladin,Streetwise,13,Buying a Magic Item,,Elven Accuracy
,Bard,Streetwise,17,Carousing,,Polearm Master
,Monk,Athletics,157,Sacred Rites,Way of the Kensei,Sharpshooter
,Wizard,Endurance,38,Sacred Rites,War Magic,Observent
,Wizard,Dungeoneering,32,Sowing Rumors,War Magic,Mobile
,Wizard,Insight,32,Sacred Rites,War Magic,Prodigy
,Monk,Endurance,135,Gambling,Way of the Open Hand,Dual Wielder
,Barbarian,Dungeoneering,155,Crafting an Item,Path of the Ancestral Guardian,Mobile
,Fighter|Paladin,Diplomacy,155,Stronghold,Champion|,Spell Sniper
,Wizard,Athletics,9,Crafting an Item,,Sentinel
,Ranger,Streetwise,12,Gambling,,Lucky
,Rogue,Insight,10,Tool,,Polearm Master
,Fighter,Diplomacy,28,Sowing Rumors,Arcane Archer,Spell Sniper
,Warlock,Streetwise,33,Sowing Rumors,The Archfey,Shield Master
,Paladin,Thievery,40,Sowing Rumors,Oath of Devotion,Alert
,Fighter,Stealth,67,Crafting an Item,Eldritch Knight,Crossbow Expert
,Wizard,Thievery,8,Scribing a Spell Scroll,,Mobile
,Wizard,Intimidate,7,Carousing,,Tough
,Fighter,Arcana,28,Research,Samurai,Resilient
,Sorcerer,Streetwise,69,Selling a Magic Item,Divine Soul,Spell Sniper
,Artificer,Arcana,32,Work,Artillerist,Prodigy
,Cleric,Nature,34,Language,Order Domain,Spell Sniper
,Warlock,Dungeoneering,21,Pit Fighting,The Great Old One,Mobile
,Bard,Insight,33,Stronghold,College of Lore,Dual Wielder
,Cleric,Diplomacy,45,Crafting an Item,Life Domain,Mobile
,Paladin,Thievery,37,Pit Fighting,Oath of Conquest,Medium Armor
,Bard,Bluff,9,Crime,,Dual Wielder
,Cleric,Insight,9,Scribing a Spell Scroll,Light Domain,Actor
,Druid,Thievery,17,Crime,Circle of the Moon,Mobile
,Paladin,Heal,13,Sowing Rumors,,Spell Sniper
,Artificer|Fighter|Wizard,Dungeoneering,18,Selling a Magic Item,||,Sentinel
,Warlock,Streetwise,10,Carousing,The Archfey,Tough
,Druid,Religion,9,Relaxation,,Mobile
,Cleric,Thievery,24,Sacred Rites,Knowledge Domain,Great Weapon Master
,Monk,Streetwise,132,Language,Way of the Sun Soul,Alert
,Rogue,Insight,8,Selling a Magic Item,,Resilient
,Cleric,Diplomacy,11,Pit Fighting,Death Domain,War Caster
,Monk,Endurance,10,Work,,Defensive Duelist
,Monk,Arcana,10,Relaxation,,Tough
,Monk|Cleric,Arcana,31,Relaxation,Way of the Kensei|War Domain,Defensive Duelist
