Race_ID,Race_Name,Size,Language,Abilities,Traits,Sub_races
,Dark Elf,Large,Auran,Intimidate,Frost Resistance,Dragon Child
,Dark Elf,Small,Auran,Stealth,Explorer,Elemental Born
,Dark Elf,Tiny,Gnoll,Thievery,The Human Spirit, Burly Halfling
,Skeleton,Huge,Primordial,Streetwise,Nature Resistence,Half-Celestial
,Tabaxi,Tiny,Orc,Intimidate,Shadow Resistence,Winger Aasimar
,Dragonborn,Medium,Halfling,Arcana,Heroic Presence,Titanborn
,Human,Large,Undercommon,Intimidate,Gem Cutting, Zombie
,Dragonborn,Tiny,Common,Thievery,Draenei,Dragon Child
,Dark Elf,Small,Elvish,Heal,Stone Form,Fey Heritage
,Tabaxi,Tiny,Deep Speech,Insight, Expansive Mind,Titanborn
,Tiefling,Small,Orc,Insight,Quickness,Arcadian
,Half-Elf,Huge,Common,Insight,Quickness,Sunfire Elf
,Half-Elf,Small,Infernal,Thievery,Touch of Elune,Arcadian
,Imaskari Human,Medium,Deep Speech,Endurance, Expansive Mind,Titanborn
,Half-Elf,Tiny,Halfling,Nature,Gem Cutting,Arcadian
,Tiefling,Small,Primordial,Diplomacy,Gem Cutting, Zombie
,Warforged,Large,Auran,Diplomacy,Gem Cutting,Sunfire Elf
,Wood Elf,Huge,Infernal,Dungeoneering,Explorer,Sunfire Elf
,Half-Orc,Tiny,Gnoll,Arcana,Every Man for Himself,Arcadian
,Lightfoot Halfling,Tiny,Gnoll,Thievery,Heroic Presence,Titanborn
,Lightfoot Halfling,Medium,Celestial,Athletics,Wisp Spirit,Crystal Born
,Human,Small,Gnomish,Stealth,Frost Resistance,Reaper Aasimar
,Mountain Dwarf,Gargantuan,Gnomish,Endurance,Elusivness,Volcano Dwarf
,Half-Orc,Small,Terran,Athletics,The Human Spirit,Deep Dwarf
,Wood Elf,Tiny,Celestial,Diplomacy, Expansive Mind,Deep Dwarf
,Human Variant,Gargantuan,Infernal,Intimidate,Gem Cutting, Burly Halfling
,Human,Tiny,Auran,Intimidate,Every Man for Himself,Deep Dwarf
,Tabaxi,Huge,Giant,Intimidate,Nimble Fingers,Titanborn
,,Medium,Goblin,Thievery,Nature Resistence,Reaper Aasimar
,Warforged,Huge,Halfling,Heal,Quickness, Zombie
,Forest Gnome,Tiny,Giant,Streetwise,Explorer,Elemental Born
,Aasimar,Huge,Dravish,Heal,Elusivness,Half Dragon
,Human,Large,Draconic,Stealth,Diplomacy,Urban Elf
,Tiefling,Gargantuan,Gnomish,Religion,Gift of the Naaru,Reaper Aasimar
,Mountain Dwarf,Tiny,Auran,Religion,Shadow Resistence,Half Dragon
,Scourge Aasimar,Tiny,Primordial,Bluff,The Human Spirit,Dragon Elf
,Stout Halfling,Large,Terran,Endurance,Escape Artist,Reaper Aasimar
,Tabaxi,Small,Infernal,Religion,Quickness,Titanborn
,Tabaxi,Tiny,Halfling,Endurance,Gift of the Naaru,Deep Dwarf
,Minotaur,Medium,Orc,Nature,Nimble Fingers,Firebeard Dwarf
,Human,Gargantuan,Gnomish,Nature,Draenei,Holy Elf
,Dark Elf,Gargantuan,Draconic,Religion,Wisp Spirit,Deep Dwarf
,Human,Medium,Aquan,Thievery,Draenei,Volcano Dwarf
,Scourge Aasimar,Large,Terran,Insight,Heroic Presence,Crystal Born
,Aasimar,Small,Celestial,Athletics,Draenei,Elemental Born
,Variant,Tiny,Undercommon,Nature,Every Man for Himself,Reaper Aasimar
,Air Genasi,Medium,Halfling,Diplomacy,Elusivness,Half Dragon
,Human,Gargantuan,Terran,Nature,Shadow Resistence,Dragon Elf
,Lightfoot Halfling,Medium,Celestial,Insight,Nimble Fingers,Dragon Child
,Half-Elf,Small,Goblin,Dungeoneering,Heroic Presence,Firebeard Dwarf
,Fallen Aasimar,Huge,Druidic,Endurance,Nimble Fingers,Half Dragon
,Protector Aasimar,Large,Ignan,Insight,Wisp Spirit,Holy Elf
,Serpentblood,Medium,Abyssal,Diplomacy,Touch of Elune,Crystal Born
,Hobgoblin,Gargantuan,Deep Speech,Arcana,Elusivness,Holy Elf
,Human,Gargantuan,Draconic,Thievery,The Human Spirit,Deep Dwarf
,Human,Small,Primordial,Nature,Nimble Fingers,Dragon Child
,Human,Medium,Common,Arcana,Engineering Specialist,Sunfire Elf
,Human,Tiny,Common,Dungeoneering,Every Man for Himself,Dragon Elf
,Human,Huge,Celestial,Diplomacy,Engineering Specialist,Mothra Aasimar
,Hunt,Small,Sylvan,Endurance, Expansive Mind,Titanborn
,Human,Huge,Deep Speech,Nature,Nature Resistence,Sunfire Elf
,Bugbear,Medium,Ignan,Arcana, Expansive Mind,Elemental Born
,Kenku,Huge,Gnoll,Bluff,Stone Form,Titanborn
,Hill Dwarf,Tiny,Draconic,Nature,The Human Spirit,Fey Heritage
,Hill Dwarf,Gargantuan,Draconic,Stealth,Heroic Presence,Holy Elf
,Protector Aasimar,Tiny,Ignan,Dungeoneering,Draenei,Deep Dwarf
,Protector Aasimar,Small,Gnoll,Dungeoneering,The Human Spirit,Reaper Aasimar
,Dire wolf,Medium,Common,Dungeoneering,Wisp Spirit,Volcano Dwarf
,Dark Elf,Gargantuan,Orc,Arcana, Shadow Meld,Crystal Born
,Minotaur,Gargantuan,Gnomish,Thievery,Explorer,Titanborn
,Human,Tiny,Gnomish,Thievery,Heroic Presence,Holy Elf
,Half-Elf,Gargantuan,Goblin,Dungeoneering,Heroic Presence,Volcano Dwarf
,Half-Elf,Gargantuan,Dravish,Insight,Nature Resistence, Burly Halfling
,Half-Elf,Medium,Gnomish,Diplomacy,Shadow Resistence,Mothra Aasimar
,Goliath,Tiny,Gnoll,Nature,Shadow Resistence,Crystal Born
,Animal Hybrid,Large,Dravish,Insight,Wisp Spirit, Burly Halfling
,Warforged,Medium,Druidic,Stealth,Diplomacy,Volcano Dwarf
,Warforged,Medium,Sylvan,Heal, Expansive Mind,Winger Aasimar
,Human,Large,Aquan,Insight,Touch of Elune,Titanborn
,Warforged,Huge,Sylvan,Arcana,Touch of Elune,Mothra Aasimar
,Human,Huge,Druidic,Stealth,Gift of the Naaru,Titanborn
,Warforged,Large,Elvish,Endurance,Shadow Resistence,Sunfire Elf
,Half-Orc,Huge,Aquan,Athletics, Shadow Meld,Urban Elf
,Tabaxi,Large,Deep Speech,Nature,Engineering Specialist,Reaper Aasimar
,Human,Huge,Undercommon,Endurance,The Human Spirit,Elemental Born
,Tiefling,Medium,Ignan,Arcana,Might of the Mountain,Firebeard Dwarf
,Wood Elf,Tiny,Sylvan,Bluff,The Human Spirit,Sunfire Elf
,Minotaur,Tiny,Elvish,Athletics,Stone Form,Mothra Aasimar
,Half-Elf,Huge,Giant,Endurance,Shadow Resistence, Zombie
,Changeling,Tiny,Giant,Streetwise,Heroic Presence,Volcano Dwarf
,Human,Huge,Aquan,Arcana,Touch of Elune,Dragon Elf
,Half-Elf,Large,Sylvan,Thievery,Might of the Mountain, Zombie
,Human,Medium,Ignan,Arcana, Shadow Meld,Elemental Born
,Warforged,Gargantuan,Common,Nature,Nature Resistence,Deep Dwarf
,Protector Aasimar,Gargantuan,Aquan,Intimidate,Touch of Elune,Titanborn
,Serpentblood,Small,Orc,Dungeoneering,Touch of Elune,Mothra Aasimar
,Higher Elfin,Gargantuan,Orc,Bluff,Stone Form,Arcadian
,Stout Halfling,Tiny,Abyssal,Diplomacy, Shadow Meld,Urban Elf
,High Elf,Tiny,Aquan,Intimidate, Shadow Meld, Zombie
,Lineage - Baal,Large,Celestial,Religion,Gift of the Naaru,Urban Elf
,Goblin,Medium,Gnomish,Nature,Explorer,Dragon Elf
,Forest Gnome,Medium,Aquan,Religion, Shadow Meld,Holy Elf
,Tabaxi,Huge,Draconic,Endurance,The Human Spirit,Fey Heritage
,Warforged,Large,Common,Heal,Elusivness,Firebeard Dwarf
,Human,Tiny,Terran,Bluff,Heroic Presence,Fey Heritage
,Minotaur,Large,Auran,Bluff,Frost Resistance, Zombie
,Human,Tiny,Gnoll,Diplomacy,Elusivness,Fey Heritage
,Tabaxi,Medium,Halfling,Religion,Engineering Specialist,Reaper Aasimar
,Dragonborn,Medium,Draconic,Bluff,Nimble Fingers, Burly Halfling
,Wood Elf,Medium,Common,Religion,Every Man for Himself,Volcano Dwarf
,Human,Gargantuan,Halfling,Thievery,Elusivness,Firebeard Dwarf
,Human,Large,Druidic,Diplomacy,Heroic Presence, Zombie
,Dire wolf,Huge,Gnomish,Stealth,Gift of the Naaru,Half-Celestial
,Warforged,Tiny,Goblin,Endurance,Gift of the Naaru,Holy Elf
,Lineage - Meph,Small,Gnoll,Stealth,Engineering Specialist,Urban Elf
,Goliath,Small,Elvish,Bluff,Diplomacy,Winger Aasimar
,Tabaxi,Medium,Gnomish,Heal,Shadow Resistence,Dragon Child
,Tabaxi,Tiny,Auran,Intimidate,Gem Cutting,Elemental Born
,Tabaxi,Small,Goblin,Dungeoneering,Diplomacy,Fey Heritage
,Half-Orc,Gargantuan,Terran,Bluff,Shadow Resistence,Deep Dwarf
,Human,Medium,Primordial,Bluff,Heroic Presence, Zombie
,Air Genasi,Gargantuan,Ignan,Diplomacy,Every Man for Himself,Sunfire Elf
,Mountain Dwarf,Small,Deep Speech,Thievery,Explorer,Reaper Aasimar
,Half-Orc,Small,Gnoll,Endurance,The Human Spirit,Dragon Elf
,Tabaxi,Medium,Ignan,Athletics,Quickness,Fey Heritage
,Tabaxi,Huge,Auran,Nature,Stone Form,Dragon Child
,Dragonborn,Small,Aquan,Heal, Shadow Meld,Dragon Child
,Changeling,Medium,Sylvan,Endurance,Heroic Presence,Crystal Born
,Tiefling,Large,Celestial,Dungeoneering,Gem Cutting, Zombie
,Human,Large,Aquan,Arcana,Touch of Elune,Brae Dwarf
,Kenku,Tiny,Ignan,Dungeoneering,Touch of Elune,Half-Celestial
,Scourge Aasimar,Large,Ignan,Insight,Every Man for Himself,Half-Celestial
,Warforged,Huge,Abyssal,Bluff,Shadow Resistence,Elemental Born
,Tiefling,Gargantuan,Halfling,Thievery, Expansive Mind,Elemental Born
,Rock Gnome,Medium,Primordial,Athletics,Quickness,Dragon Child
,Vedalken,Small,Dravish,Religion,Wisp Spirit,Mothra Aasimar
,Shadow Elf,Gargantuan,Draconic,Endurance,Heroic Presence,Urban Elf
,Half-Elf,Medium,Gnoll,Streetwise,Engineering Specialist,Elemental Born
,Half-Orc,Small,Common,Thievery,Every Man for Himself,Arcadian
,Warforged,Gargantuan,Undercommon,Religion,Draenei,Firebeard Dwarf
,Human,Small,Gnoll,Streetwise,Draenei,Half-Celestial
,Human,Large,Primordial,Diplomacy,Touch of Elune,Half Dragon
,Rock Gnome,Large,Goblin,Diplomacy,Heroic Presence,Titanborn
,Human,Medium,Goblin,Insight,Explorer,Winger Aasimar
,Half-Elf,Gargantuan,Primordial,Streetwise,Gem Cutting, Burly Halfling
,Human,Huge,Elvish,Endurance,Frost Resistance,Dragon Elf
,Tabaxi,Gargantuan,Sylvan,Intimidate,Engineering Specialist,Brae Dwarf
,High Elf,Small,Druidic,Intimidate,Elusivness,Reaper Aasimar
,Human,Small,Druidic,Endurance,Wisp Spirit, Zombie
,Forest Gnome,Tiny,Terran,Intimidate,Frost Resistance,Half-Celestial
,Dark Elf,Huge,Orc,Intimidate,Gift of the Naaru,Titanborn
,Deep Gnome,Small,Primordial,Insight,Diplomacy,Firebeard Dwarf
,Human,Medium,Gnomish,Endurance,Diplomacy,Deep Dwarf
,Fallen Aasimar,Tiny,Orc,Insight,Frost Resistance,Winger Aasimar
,Fallen Aasimar,Medium,Aquan,Arcana,Shadow Resistence,Volcano Dwarf
,Tiefling,Tiny,Gnoll,Stealth,Gem Cutting,Half Dragon
,Eladrin ToF,Large,Halfling,Stealth,Every Man for Himself,Volcano Dwarf
,Dark Elf,Large,Halfling,Diplomacy,Touch of Elune,Deep Dwarf
,Lightfoot Halfling,Medium,Dravish,Arcana,Arcane Resistance,Elemental Born
,Lightfoot Halfling,Small,Celestial,Arcana,Gem Cutting,Dragon Elf
,Lightfoot Halfling,Huge,Ignan,Diplomacy,The Human Spirit,Firebeard Dwarf
,Making Mark Human,Medium,Celestial,Athletics,Arcane Resistance,Sunfire Elf
,Lineage - Glas,Small,Gnomish,Stealth, Expansive Mind,Half Dragon
,Protector Aasimar,Medium,Deep Speech,Diplomacy,Shadow Resistence,Mothra Aasimar
,Eladrin ToF,Large,Orc,Intimidate,Shadow Resistence,Dragon Child
,Eladrin ToF,Huge,Draconic,Bluff,Frost Resistance,Fey Heritage
,Tabaxi,Tiny,Aquan,Athletics,Nature Resistence,Winger Aasimar
,Tabaxi,Small,Aquan,Bluff,Elusivness,Half-Celestial
,Half-Orc,Large,Draconic,Endurance, Expansive Mind,Fey Heritage
,Human (Variant),Huge,Sylvan,Heal,Heroic Presence,Titanborn
,Human,Tiny,Halfling,Endurance,Wisp Spirit,Deep Dwarf
,Lightfoot Halfling,Medium,Auran,Insight,Engineering Specialist,Mothra Aasimar
,Warforged,Medium,Terran,Arcana,Nimble Fingers,Mothra Aasimar
,Human,Small,Auran,Arcana, Expansive Mind,Firebeard Dwarf
,Changeling,Small,Gnomish,Intimidate,Arcane Resistance,Volcano Dwarf
,Making,Huge,Terran,Intimidate,Escape Artist,Half Dragon
,Human,Medium,Draconic,Nature,The Human Spirit,Arcadian
,High Elf,Large,Common,Nature,Nature Resistence,Mothra Aasimar
,Wood Elf,Small,Draconic,Endurance,Quickness,Elemental Born
,Centaur,Gargantuan,Goblin,Thievery, Expansive Mind,Volcano Dwarf
,Hill Dwarf,Medium,Abyssal,Stealth,Gift of the Naaru,Elemental Born
,Kenku,Huge,Draconic,Insight,Explorer,Winger Aasimar
,Tabaxi,Gargantuan,Halfling,Streetwise,Gem Cutting, Zombie
,Human,Large,Druidic,Dungeoneering,Quickness,Volcano Dwarf
,Serpentblood,Tiny,Auran,Arcana,Nature Resistence,Brae Dwarf
,Tiefling,Small,Celestial,Heal, Shadow Meld,Winger Aasimar
,Hill Dwarf,Medium,Sylvan,Religion,Nimble Fingers,Reaper Aasimar
,Firbolg,Huge,Common,Athletics,Nature Resistence,Urban Elf
,Mountain Dwarf,Large,Abyssal,Nature,Touch of Elune,Winger Aasimar
,Mountain Dwarf,Huge,Primordial,Insight,Might of the Mountain,Holy Elf
,Tabaxi,Small,Abyssal,Dungeoneering,Gift of the Naaru,Brae Dwarf
,Human Variant,Small,Infernal,Nature,Diplomacy,Winger Aasimar
,Rock Gnome,Large,Common,Arcana,Every Man for Himself,Firebeard Dwarf
,Sentinel,Medium,Undercommon,Streetwise,Nimble Fingers,Dragon Child
,Sentinel,Gargantuan,Halfling,Intimidate,Touch of Elune,Winger Aasimar
,Human,Huge,Terran,Thievery,Draenei,Deep Dwarf
,Triton,Gargantuan,Common,Streetwise,Draenei,Brae Dwarf
,Goliath,Gargantuan,Gnoll,Endurance, Expansive Mind,Half-Celestial
,Deep Gnome,Gargantuan,Infernal,Endurance,Escape Artist,Deep Dwarf
,Wood Elf,Tiny,Abyssal,Stealth,Gem Cutting,Mothra Aasimar
,Human,Small,Ignan,Arcana,Stone Form,Crystal Born
,Mountain Dwarf,Medium,Halfling,Insight,Elusivness,Sunfire Elf
,Lightfoot Halfling,Small,Common,Thievery,Engineering Specialist,Crystal Born
,Lightfoot Halfling,Small,Ignan,Streetwise, Expansive Mind,Dragon Child
,Rock Gnome,Tiny,Draconic,Stealth,The Human Spirit,Firebeard Dwarf
,Fallen Aasimar,Medium,Draconic,Nature,Every Man for Himself,Mothra Aasimar
,Dragonborn,Gargantuan,Sylvan,Heal,Stone Form, Burly Halfling
,Half-Orc,Medium,Aquan,Athletics,Heroic Presence,Fey Heritage
,Hill Dwarf,Huge,Draconic,Stealth,Wisp Spirit, Zombie
,Dire wolf,Small,Primordial,Athletics,The Human Spirit,Firebeard Dwarf
,Tabaxi,Large,Primordial,Religion,Elusivness, Zombie
,Half-Elf,Small,Gnoll,Heal,Quickness,Reaper Aasimar
,Lightfoot Halfling,Large,Giant,Streetwise,Quickness,Arcadian
,Goblin,Small,Auran,Bluff,Frost Resistance,Holy Elf
,Human,Huge,Auran,Religion,Elusivness,Firebeard Dwarf
,Human,Tiny,Celestial,Bluff,Gem Cutting,Dragon Child
,Human,Large,Druidic,Intimidate,Nature Resistence,Brae Dwarf
,High Elf,Huge,Goblin,Endurance,Nature Resistence,Brae Dwarf
,Eladrin ToF,Huge,Gnoll,Nature,Gift of the Naaru,Arcadian
,High Moon Elf,Huge,Undercommon,Bluff,Heroic Presence,Dragon Child
,Lineage - Meph,Gargantuan,Gnoll,Religion,Nimble Fingers,Firebeard Dwarf
,Dragonborn,Medium,Halfling,Insight,Touch of Elune,Half Dragon
,Protector Aasimar,Large,Ignan,Diplomacy,Escape Artist,Brae Dwarf
,Fire Genasi,Large,Giant,Streetwise,Wisp Spirit,Mothra Aasimar
,Birdfolk,Large,Goblin,Intimidate,Nimble Fingers,Dragon Elf
,Kenku,Gargantuan,Dravish,Diplomacy,Stone Form, Burly Halfling
,Serpentblood,Small,Draconic,Streetwise, Expansive Mind,Volcano Dwarf
,Goblin,Tiny,Giant,Stealth,Draenei, Zombie
,Forest Gnome,Large,Elvish,Heal,Engineering Specialist, Zombie
,Minotaur,Huge,Elvish,Nature,Escape Artist,Half-Celestial
,Loxodon,Huge,Undercommon,Stealth,Quickness,Crystal Born
,Tabaxi,Medium,Dravish,Arcana,Elusivness,Half-Celestial
,Half-Elf,Huge,Elvish,Thievery,Nimble Fingers,Elemental Born
,Human,Gargantuan,Terran,Diplomacy,The Human Spirit,Dragon Child
,Tabaxi,Gargantuan,Infernal,Stealth, Shadow Meld,Half-Celestial
,Sentinel,Small,Draconic,Diplomacy,Nature Resistence,Volcano Dwarf
,Human,Medium,Auran,Endurance, Expansive Mind,Half-Celestial
,High Elf,Medium,Goblin,Streetwise,Explorer,Firebeard Dwarf
,Warforged,Small,Druidic,Bluff, Shadow Meld,Holy Elf
,Turtle,Small,Giant,Religion,Nature Resistence,Titanborn
,Human,Huge,Terran,Thievery,Heroic Presence,Dragon Elf
,Dragonborn,Tiny,Abyssal,Stealth,Might of the Mountain,Urban Elf
,Minotaur,Small,Ignan,Intimidate,Might of the Mountain,Elemental Born
,Minotaur,Medium,Primordial,Insight,Gift of the Naaru,Half-Celestial
,Lineage - Zari,Small,Abyssal,Heal, Expansive Mind,Crystal Born
,Half-Orc,Small,Gnoll,Intimidate,Arcane Resistance,Holy Elf
,Human,Huge,Gnoll,Intimidate,Draenei,Mothra Aasimar
,Aasimar,Medium,Elvish,Intimidate,Gem Cutting,Dragon Child
,Hobgoblin,Large,Gnoll,Diplomacy,Frost Resistance,Firebeard Dwarf
,Centaur,Tiny,Sylvan,Religion, Shadow Meld,Half-Celestial
,Warforged,Tiny,Gnomish,Religion,Might of the Mountain,Sunfire Elf
,Lightfoot Halfling,Large,Infernal,Streetwise,Every Man for Himself,Winger Aasimar
,Hunt,Medium,Gnoll,Athletics,Touch of Elune,Arcadian
,Birdfolk,Huge,Orc,Religion,Elusivness,Half Dragon
,Bugbear,Huge,Gnoll,Heal,Elusivness,Half Dragon
,Elephantine,Large,Gnoll,Religion,Escape Artist, Zombie
,High Elf,Tiny,Gnoll,Dungeoneering,Heroic Presence,Crystal Born
,Warforged,Huge,Gnomish,Diplomacy,Frost Resistance,Deep Dwarf
,Half-Orc,Tiny,Abyssal,Bluff,Nature Resistence,Deep Dwarf
,Dragonborn,Large,Giant,Diplomacy,Wisp Spirit,Half Dragon
,Tabaxi,Gargantuan,Auran,Diplomacy,Engineering Specialist,Winger Aasimar
,Dragonborn,Huge,Gnomish,Insight,Draenei,Elemental Born
,Animal Hybrid,Tiny,Elvish,Arcana,Might of the Mountain,Mothra Aasimar
,Stout Halfling,Small,Deep Speech,Religion, Expansive Mind,Winger Aasimar
,Firbolg,Gargantuan,Abyssal,Heal,Frost Resistance,Crystal Born
,Human,Tiny,Draconic,Diplomacy,Diplomacy,Brae Dwarf
,Goliath,Large,Halfling,Stealth,Nimble Fingers,Reaper Aasimar
,Human,Small,Giant,Athletics,Gift of the Naaru,Fey Heritage
,Shifter,Large,Sylvan,Stealth,The Human Spirit,Deep Dwarf
,Forest Gnome,Huge,Dravish,Religion,Shadow Resistence,Winger Aasimar
,Forest Gnome,Medium,Gnomish,Thievery, Expansive Mind, Zombie
,Human,Tiny,Draconic,Athletics,Engineering Specialist,Crystal Born
,Stout Halfling,Small,Draconic,Nature,Wisp Spirit,Titanborn
,Minotaur,Huge,Aquan,Dungeoneering,Elusivness,Dragon Child
,Tabaxi,Large,Halfling,Arcana,Escape Artist,Deep Dwarf
,Human/Shou,Large,Undercommon,Arcana,Gem Cutting,Deep Dwarf
,Lineage - Meph,Large,Halfling,Heal,Gift of the Naaru,Half Dragon
,High Moon Elf,Small,Gnomish,Religion,Might of the Mountain,Reaper Aasimar
,Human,Medium,Druidic,Intimidate,Might of the Mountain,Reaper Aasimar
,Goblin,Medium,Orc,Heal,Touch of Elune,Sunfire Elf
,Human,Medium,Undercommon,Thievery,Every Man for Himself,Winger Aasimar
,Lizardfolk,Tiny,Giant,Heal,Draenei,Mothra Aasimar
,Turtle,Tiny,Druidic,Dungeoneering,Gift of the Naaru,Firebeard Dwarf
,Half-Elf,Small,Giant,Diplomacy,Stone Form, Burly Halfling
,Minotaur,Small,Druidic,Endurance,Frost Resistance,Mothra Aasimar
,Minotaur,Large,Common,Arcana,Diplomacy,Urban Elf
,Stout Halfling,Medium,Celestial,Diplomacy,Might of the Mountain,Sunfire Elf
,Forest Gnome,Gargantuan,Sylvan,Thievery,Might of the Mountain,Mothra Aasimar
,Lineage - Fier,Gargantuan,Deep Speech,Diplomacy,Draenei, Zombie
,Lineage - Fier,Huge,Halfling,Arcana,Touch of Elune,Arcadian
,Firbolg,Tiny,Halfling,Insight,Arcane Resistance,Mothra Aasimar
,Half-Elf,Medium,Draconic,Bluff,Arcane Resistance,Half-Celestial
,Fallen Aasimar,Small,Ignan,Bluff,Elusivness,Elemental Born
,High Elf,Small,Giant,Stealth,Quickness,Firebeard Dwarf
,Human,Gargantuan,Undercommon,Athletics,Stone Form,Urban Elf
,Human,Small,Infernal,Endurance,Touch of Elune,Mothra Aasimar
,High Elf,Huge,Aquan,Religion,Diplomacy,Fey Heritage
,Half-Orc,Large,Terran,Arcana,Elusivness,Dragon Child
,Variant,Medium,Goblin,Thievery,Might of the Mountain,Titanborn
,Hill Dwarf,Medium,Dravish,Streetwise,Gem Cutting,Volcano Dwarf
,Human,Small,Common,Nature,Nimble Fingers,Urban Elf
,Human,Small,Druidic,Dungeoneering,Escape Artist,Crystal Born
,Human,Medium,Ignan,Bluff,Gift of the Naaru,Holy Elf
,Tiefling,Huge,Aquan,Bluff,Frost Resistance,Mothra Aasimar
,Goliath,Gargantuan,Auran,Endurance,Draenei,Holy Elf
,Half-Orc,Huge,Celestial,Stealth,Stone Form,Elemental Born
,Tabaxi,Huge,Ignan,Dungeoneering,Gem Cutting,Dragon Elf
,Lightfoot Halfling,Large,Terran,Insight,Gift of the Naaru,Holy Elf
,Wood Elf,Huge,Aquan,Arcana,Heroic Presence,Titanborn
,High Elf,Gargantuan,Goblin,Streetwise,Explorer,Winger Aasimar
,Forest Gnome,Medium,Giant,Bluff,Escape Artist,Dragon Elf
,Hill Dwarf,Medium,Abyssal,Intimidate,Gem Cutting,Holy Elf
,Human,Small,Sylvan,Nature,Gem Cutting,Firebeard Dwarf
,Half-Elf,Gargantuan,Halfling,Endurance, Expansive Mind,Deep Dwarf
,Dragonborn,Tiny,Aquan,Dungeoneering,Frost Resistance,Half-Celestial
,Lightfoot Halfling,Huge,Infernal,Athletics,Heroic Presence,Holy Elf
,Half-Orc,Gargantuan,Gnomish,Arcana,Gem Cutting,Urban Elf
,Protector Aasimar,Huge,Common,Streetwise,Wisp Spirit,Titanborn
,Human,Tiny,Gnomish,Athletics,Touch of Elune,Brae Dwarf
,Turtle,Medium,Orc,Streetwise,Stone Form,Elemental Born
,Human,Medium,Aquan,Diplomacy,The Human Spirit,Titanborn
,Human,Large,Elvish,Stealth,Engineering Specialist,Firebeard Dwarf
,Warforged,Huge,Primordial,Diplomacy,The Human Spirit,Urban Elf
,Triton,Tiny,Undercommon,Diplomacy,Engineering Specialist,Urban Elf
,Triton,Large,Undercommon,Streetwise,Frost Resistance,Brae Dwarf
,Triton,Huge,Celestial,Bluff,Diplomacy,Fey Heritage
,Triton,Huge,Orc,Thievery,Every Man for Himself,Mothra Aasimar
,Tiefling,Gargantuan,Aquan,Intimidate,Every Man for Himself,Holy Elf
,Triton,Large,Auran,Thievery,Touch of Elune,Half Dragon
,Turtle,Gargantuan,Deep Speech,Arcana,Escape Artist,Half Dragon
,Kenku,Gargantuan,Druidic,Heal,Explorer,Winger Aasimar
,Triton,Medium,Druidic,Dungeoneering,Quickness,Arcadian
,Eladrin ToF,Huge,Draconic,Insight,The Human Spirit,Reaper Aasimar
,Lineage - Meph,Gargantuan,Goblin,Thievery,Wisp Spirit,Volcano Dwarf
,Kobold,Small,Dravish,Streetwise,Explorer,Elemental Born
,Lightfoot Halfling,Small,Draconic,Thievery,Arcane Resistance,Firebeard Dwarf
,Half-Orc,Huge,Druidic,Stealth,The Human Spirit, Burly Halfling
,Stout Halfling,Medium,Goblin,Bluff,Frost Resistance,Dragon Elf
,Rock Gnome,Huge,Elvish,Insight,Engineering Specialist,Crystal Born
,Wood Elf,Gargantuan,Orc,Endurance,Might of the Mountain,Fey Heritage
,Human,Small,Giant,Stealth,The Human Spirit,Half-Celestial
,Hill Dwarf,Gargantuan,Druidic,Athletics,The Human Spirit,Volcano Dwarf
,Triton,Large,Ignan,Intimidate,Touch of Elune, Burly Halfling
,Half-Elf,Medium,Terran,Dungeoneering,Touch of Elune,Half Dragon
,Fallen Aasimar,Tiny,Elvish,Nature,Wisp Spirit,Dragon Child
,Cambiaformas,Tiny,Dravish,Thievery,Gem Cutting,Arcadian
,Triton,Tiny,Sylvan,Nature,The Human Spirit,Dragon Child
,High Elf,Medium,Gnoll,Athletics,Every Man for Himself, Zombie
